4,40,40,0.000966,0.000000
8,100,100,0.000000,0.000000
8,100,100,0.004922,0.001886
8,100,100,0.016248,0.016248
8,100,100,0.000000,0.000000
8,100,100,0.000000,0.000000
8,100,100,0.000000,0.000000
8,100,100,0.000000,0.000000
8,100,100,0.003309,0.001891
3,10,10,0.001010,0.000000
3,10,10,0.000000,0.000000
3,10,10,0.000000,0.000000
3,10,10,0.000000,0.000000
3,10,10,0.000000,0.000000
3,10,10,0.000000,0.000000
3,10,10,0.000965,0.000000
3,10,10,0.193869,0.193869
3,10,10,0.208325,0.207324
3,250,250,0.005000,0.004001
3,350,350,0.007001,0.003997
3,5000,5000,1.212452,0.865998
3,5000,5000,1.240340,0.860419
3,8,8,0.133999,0.116000
3,8,8,0.122249,0.121246
3,8,8,0.126000,0.124000
3,8,8,0.322292,0.322292
3,8,8,0.122973,0.121972
3,8,8,0.714674,0.713670
3,8,8,0.134453,0.132440
3,8,8,0.160363,0.160363
3,8,8,0.169969,0.168969
3,8,8,0.001006,0.000000
3,5000,5000,1.222076,0.860862
8,5000,5000,2.681354,2.289625
8,5000,5000,2.685211,2.325261
3,8,8,0.014962,0.000000
3,8,8,0.215237,0.213202
3,8,8,0.158267,0.157266
3,8,8,0.321525,0.320523
3,8,8,0.170636,0.170636
3,8,8,0.161835,0.161835
3,8,8,0.173144,0.173144
3,8,8,0.183485,0.183485
3,8,8,0.130462,0.127330
3,8,8,0.172406,0.171405
